TILE_ID,NUMBER,ra,dec,CLASS_STAR,uJAVA,J0378,J0395,J0410,J0430,gSDSS,J0515,rSDSS,J0660,iSDSS,J0861,zSDSS,StellarLoMaR,isTrain,isSimbad,High_confidence,teff_lasp,logg_lasp,feh_lasp
90393,14529,150.9761085,40.57160685,0.999,12.5916052,12.7194853,12.7792034,12.7886639,12.8837051,13.0468407,13.1994858,13.5812111,13.7403145,13.9862928,14.2528734,14.3289299,0.653320313,0,0,0,,,
90393,14553,151.7384225,40.54271199,0.925,16.5647278,16.161026,16.1750889,15.5736132,15.4567537,15.0839043,14.9296875,14.5874319,14.5222301,14.4026337,14.356432,14.3417873,0.916992188,0,0,0,,,
90393,14677,151.1639073,40.53554541,0.999,16.6543961,16.4976559,16.3470211,15.5270014,15.3600025,14.7592812,14.5475788,14.0622349,13.9680338,13.8002186,13.7023716,13.6844692,0.8984375,0,0,0,4801.16,2.536,-0.415
90393,15341,150.515324,40.48796119,0.992,17.5857143,17.2522621,17.2640018,16.7364807,16.6800842,16.2964535,16.1266251,15.7950401,15.7421846,15.6055527,15.5313969,15.5451851,0.788085938,0,0,0,,,
90393,16444,151.1210515,40.4045289,0.834,17.3931217,16.9213276,16.9375839,16.2675533,16.1256256,15.5948238,15.3821392,14.9331388,14.8397331,14.6583138,14.5513353,14.5320396,0.937988281,0,0,0,,,
90393,17204,150.4324334,40.34992465,0.976,17.0086994,16.7561188,16.6714325,15.8352928,15.6723547,15.0798054,14.8540764,14.3701687,14.2776537,14.0932665,13.9884329,13.9735031,0.922363281,0,0,0,,,
90393,17804,151.3735509,40.31194279,0.967,17.6005898,17.2150688,17.2532501,16.3432884,16.1415768,15.5015717,15.2623243,14.722868,14.6271296,14.393158,14.2756147,14.2345924,0.973144531,0,0,1,,,
90409,2348,152.8553666,39.62503326,0.997,17.4366951,17.1523209,16.9960938,16.5757828,16.4744129,16.1045017,15.9496975,15.5818481,15.516819,15.3733711,15.3052282,15.2874727,0.64453125,0,0,0,,,
90409,3735,152.3976448,39.71962641,0.999,17.0978813,16.8888912,16.8031845,16.1060753,16.0076237,15.4947453,15.3158998,14.8956394,14.8187494,14.6802959,14.6126213,14.5882044,0.711914063,0,0,0,,,
90409,6152,153.5751348,39.88687102,0.978,17.3221245,17.0267792,16.9762573,16.4821453,16.3994617,16.0369778,15.8940449,15.5555964,15.4745102,15.3722992,15.3288822,15.3107929,0.738769531,0,0,0,,,
90409,7470,152.9963799,39.9689753,0.997,16.5631561,16.1504383,16.1814003,15.6079397,15.5141754,15.1335201,14.9577017,14.6454277,14.5793514,14.4596214,14.4228888,14.4031286,0.606445313,0,0,0,,,
90409,9387,152.7909959,40.09481908,0.916,16.7368126,16.2793846,16.2260628,15.7978954,15.7043743,15.4314375,15.2851534,15.0324421,14.9908218,14.8896866,14.858305,14.8442125,0.919921875,0,0,0,,,
90409,9878,152.2865404,40.12121316,0.993,15.844738,15.6290092,15.5700245,14.8174629,14.7394762,14.2239637,14.0679045,13.6478109,13.5764732,13.4341125,13.3809147,13.3516665,0.938964844,0,0,0,5090.39,3.876,-0.561
90409,10668,153.2471415,40.18002128,0.985,17.9959564,17.6599941,17.7440968,17.159668,17.0871048,16.7196922,16.5544395,16.236166,16.1429958,16.0284157,15.9760876,15.9467802,0.744628906,0,0,0,,,
90409,10831,153.4147426,40.18996924,1,17.2335396,16.6372471,16.4556541,16.16605,16.109087,15.9527721,15.8702765,15.7073183,15.7027931,15.633194,15.6309195,15.6176453,0.7421875,0,0,0,,,
90409,17088,152.192555,40.42185183,0.996,16.7451477,16.3745041,16.3277664,15.7636786,15.6906338,15.311327,15.1421013,14.8141708,14.7441044,14.6244087,14.5548534,14.5561371,0.928222656,0,0,0,,,
90409,17401,153.4711909,40.4061207,0.997,17.3234577,16.7670326,16.6380825,16.0570068,15.8697662,15.3044128,15.058609,14.5138407,14.4008503,14.1770592,14.0468836,14.0107899,0.899902344,0,0,0,4592.37,1.227,-2.186
90409,18926,153.2679399,40.31157858,0.995,15.8517504,15.681324,15.5543776,14.8047037,14.7098217,14.2208443,14.0645771,13.6460695,13.5761356,13.4483223,13.3962116,13.3800964,0.771484375,0,0,0,,,
90409,19417,152.8550909,40.28074587,0.95,17.3217697,17.0003166,16.9871483,16.4992867,16.4470444,16.0741386,15.907712,15.5833931,15.5185356,15.3938427,15.3528738,15.3295298,0.877441406,0,0,0,,,
90417,1527,154.5593137,39.53744056,0.834,15.551199,15.1752768,15.2182007,14.5245132,14.4480324,13.9479799,13.7597723,13.3469143,13.2712097,13.1522093,13.0379333,13.0134401,0.987792969,0,0,1,,,
90417,7034,154.0726844,39.88643278,0.999,17.1792068,16.5421505,16.3920288,16.1112251,16.0480118,15.8823748,15.7748051,15.6127243,15.6101131,15.5202408,15.5074043,15.5294247,0.875976563,0,0,0,,,
90417,8886,154.7235693,40.00156745,0.996,16.8839493,16.4718475,16.5411949,15.8865023,15.8219604,15.3031797,15.1347523,14.7372255,14.6501207,14.4884148,14.413229,14.3862219,0.969726563,0,0,1,,,
90417,10892,154.3130869,40.11779505,0.935,15.7834301,15.4068871,15.3787289,15.0119438,14.941021,14.584549,14.4212866,14.1124802,14.0539188,13.9150953,13.8560104,13.8391171,0.92578125,0,0,0,5143,2.565,-1.906
90417,11335,154.8576169,40.14782946,0.937,17.148531,16.7754116,16.8187656,16.2829437,16.2528191,15.8404655,15.6732845,15.3138256,15.2368708,15.0806599,15.0168667,15.0042391,0.925292969,0,0,0,,,
90417,14321,154.0602636,40.58599868,0.847,17.4636021,17.1254234,17.0983448,16.2316589,16.0644493,15.4997778,15.2681179,14.8060369,14.719511,14.5276089,14.4432306,14.4083157,0.965820313,0,0,1,,,
90417,18635,154.1737412,40.29916684,0.97,17.1196518,16.8525772,16.7796021,16.0146828,15.9079618,15.370245,15.1839905,14.7520275,14.6627712,14.5192194,14.4559956,14.429965,0.607421875,0,0,0,,,
87066,1086,105.4609552,32.54267187,0.976,17.6958408,17.4726353,17.3145752,16.5939808,16.3880043,15.835453,15.6279478,15.1246939,15.0371561,14.8575754,14.7460556,14.7265224,0.631835938,0,0,0,,,
87066,1341,105.2129738,32.544794,0.963,15.5554218,15.3078661,15.1142082,14.4343491,14.2990513,13.7192135,13.5202904,13.0295343,12.9427881,12.7554951,12.646843,12.6272907,0.965332031,0,0,1,,,
87066,1474,105.0685616,32.55484965,0.941,17.1173382,16.9367924,16.6667824,15.9263382,15.7546244,15.1292181,14.9318657,14.38381,14.2911777,14.1043234,13.9722004,13.9565563,0.895996094,0,0,0,,,
87066,2065,106.3050949,32.57305045,0.974,15.5394726,15.2749872,15.0939083,14.3292475,14.1535807,13.5413227,13.316514,12.8207836,12.7365789,12.5561981,12.4478455,12.4246864,0.9609375,0,0,1,,,
87066,2176,105.9377235,32.57989098,0.991,17.0873642,16.809866,16.5289001,15.5127697,15.1636581,14.2954655,14.0247107,13.2956142,13.1477451,12.8690958,12.6874399,12.6399498,0.98828125,0,0,1,,,
87066,2401,105.4561869,32.59040099,0.978,16.5764198,16.4120865,16.0043392,15.1948996,14.8658152,14.1588087,13.9257393,13.3092461,13.198101,12.9914932,12.8487253,12.8214169,0.98828125,0,0,1,,,
87066,2674,105.1314432,32.60376196,0.977,16.7411232,16.5227013,16.3306923,15.604187,15.4327545,14.8517427,14.6452398,14.1425171,14.0611744,13.8790359,13.7637997,13.7433167,0.975097656,0,0,1,,,
87066,2912,105.9505635,32.61022164,0.93,16.0505753,15.8450384,15.605854,14.7884951,14.5740871,13.8973494,13.6868134,13.112381,13.0075474,12.8055105,12.6752758,12.6542139,0.985351563,0,0,1,,,
87066,3050,105.8135286,32.6212589,0.959,17.4316177,17.3084564,17.0070152,16.3676682,16.2036171,15.6173773,15.4305096,14.9360275,14.8592014,14.688612,14.5869074,14.5671711,0.6953125,0,0,0,,,
87066,3419,105.0892648,32.63205402,0.875,16.9211998,16.6946678,16.458271,15.6919489,15.4934273,14.8317165,14.6143103,14.0546474,13.9562912,13.7506247,13.6173296,13.5940819,0.98046875,0,0,1,,,
87066,3530,105.2627439,32.64176924,0.971,17.8411083,17.3453159,17.2565308,16.8426151,16.7201557,16.3657055,16.1559181,15.7924843,15.7010717,15.5397186,15.4233885,15.4174299,0.636230469,0,0,0,,,
87066,3670,105.3202959,32.64375328,0.974,17.1923981,17.029541,16.7873421,16.0189304,15.8814478,15.2315979,15.0168962,14.4719572,14.3782635,14.1795769,14.0540218,14.0308676,0.958984375,0,0,1,,,
87066,4116,105.6731479,32.65897477,0.984,16.8023682,16.7453957,16.2694969,15.4977646,15.1804199,14.5286217,14.3248091,13.7363672,13.6395712,13.4603281,13.3440533,13.3200092,0.859375,0,0,0,,,
87066,4612,106.0302046,32.68141143,0.935,17.2403755,17.0037117,16.8413811,16.0845985,15.9589548,15.3866434,15.1858912,14.6989298,14.6186934,14.4376717,14.3318043,14.3164387,0.923828125,0,0,0,,,
87066,5383,106.1118393,32.70950256,0.968,17.0077095,16.8246727,16.5705872,15.8105755,15.6266422,15.0380774,14.8252773,14.3298912,14.2446918,14.074213,13.9661427,13.9569416,0.937011719,0,0,0,,,
87066,5591,105.6786894,32.71670862,1,17.2425499,16.9393349,16.6832199,15.8370886,15.5663538,14.8178625,14.5729036,13.9280529,13.8038464,13.571393,13.4181499,13.3834076,0.9765625,0,0,1,,,
87066,5864,105.8586312,32.72851535,0.956,17.0341721,16.9115162,16.5300217,15.7567949,15.5053053,14.868906,14.6669235,14.1066532,14.0058289,13.8322363,13.7275639,13.7022781,0.793945313,0,0,0,,,
87066,6130,106.4804861,32.73230679,0.983,16.2128925,16.0179482,15.7008209,14.8837423,14.622818,13.9467659,13.7075214,13.1318712,13.033268,12.8309546,12.7042999,12.6743078,0.987304688,0,0,1,,,
87066,6156,105.0344308,32.74022853,0.972,17.1784267,16.9696121,16.6950035,16.0296021,15.8848038,15.2946711,15.1040058,14.6074085,14.5267754,14.3427124,14.2380409,14.219492,0.923828125,0,0,0,,,
87066,6217,106.0310839,32.73373092,0.994,15.8646832,15.690093,15.3103905,14.5052576,14.1993685,13.5271492,13.2914371,12.7240944,12.6198215,12.4350872,12.3227415,12.2959204,0.987304688,0,0,1,,,
87066,6670,105.8318306,32.75055985,0.833,15.2344284,14.8897991,14.6446075,14.0590334,13.8959732,13.421629,13.2365847,12.8036652,12.7306232,12.5732489,12.4832687,12.4623432,0.939453125,0,0,0,,,
87066,6714,106.5708852,32.76235518,0.97,17.4362717,17.1185417,16.9533768,16.2279911,16.092617,15.4919262,15.2744331,14.7829628,14.6945677,14.5160904,14.409481,14.3940487,0.933105469,0,0,0,,,
87066,6957,106.3404962,32.77182603,0.987,17.7112789,17.5053368,17.3273277,16.5116005,16.3658581,15.7814713,15.5563297,15.0574837,14.9533033,14.7743969,14.6733322,14.6473312,0.744628906,0,0,0,,,
87066,7220,105.6805494,32.77048785,0.944,15.6185722,15.3857679,15.1795206,14.4794922,14.3320942,13.7616634,13.5541668,13.0723143,12.9848423,12.8034687,12.6966743,12.670579,0.932128906,0,0,0,,,
87066,8455,105.9987543,32.81915505,0.978,15.1885166,14.9032497,14.8716545,14.2440987,14.1623058,13.6802492,13.4922771,13.0898819,13.0151033,12.857645,12.7734423,12.7575788,0.964355469,0,0,1,,,
87066,8484,105.5492954,32.82357615,0.901,16.4532413,16.244381,15.9367247,15.0952978,14.8433943,14.1346302,13.9069672,13.2794647,13.1690741,12.9463873,12.8067932,12.7741108,0.987304688,0,0,1,,,
87066,8977,105.5303183,32.84694432,0.969,16.5416813,16.2087479,16.1310806,15.6687393,15.5958881,15.2857666,15.1341209,14.84447,14.8246717,14.6941338,14.6412096,14.6547775,0.603515625,0,0,0,,,
87066,9114,106.4152814,32.85063832,0.938,17.0975304,17.0312958,16.7074852,15.9118853,15.7786474,15.1970482,14.9876699,14.4981928,14.4052811,14.2424335,14.1436348,14.1271276,0.6171875,0,0,0,,,
87066,9789,106.6420289,32.86870525,0.995,16.2485371,15.9873238,15.7903643,15.0122566,14.8296785,14.1894608,13.9945183,13.5136576,13.4234018,13.2533407,13.1438513,13.1264648,0.987304688,0,0,1,4898.62,2.264,-0.471
87066,10533,105.1709139,32.90031878,0.971,16.5817184,16.3319759,16.1133347,15.3770237,15.2034864,14.6332779,14.4204311,13.9252815,13.8379784,13.6601849,13.5596619,13.5413589,0.93359375,0,0,0,,,
87066,11146,105.8471295,32.92588636,0.978,16.2275772,15.9820375,15.851943,15.218236,15.107235,14.6012182,14.4146261,13.982893,13.9072332,13.7497854,13.6668634,13.6428051,0.903320313,0,0,0,,,
87066,11872,105.7087321,32.95088795,0.961,17.5423031,17.3409672,17.0660629,16.0738029,15.8112888,15.0209141,14.7537851,14.0872326,13.9683313,13.7213516,13.5555077,13.5179663,0.966796875,0,0,1,,,
87066,12196,106.4385044,32.95161044,0.983,15.2258835,14.947794,14.8103495,14.0546474,13.9117985,13.3138294,13.0969667,12.6314373,12.5528049,12.3875093,12.2851477,12.2680063,0.967773438,0,0,1,,,
87066,13220,105.6323992,33.00731683,0.905,17.6526413,17.4714241,17.2016678,16.4955635,16.3762131,15.7687855,15.5911808,15.071537,14.9808044,14.8107214,14.7154484,14.688426,0.699707031,0,0,0,,,
87066,13252,105.1523705,33.00420288,0.953,16.6926537,16.4884052,16.2701168,15.6095238,15.477499,14.9124479,14.7255974,14.2551785,14.1664848,14.0004101,13.9055195,13.8923702,0.777832031,0,0,0,,,
87066,13595,105.8146938,33.00525548,0.999,14.3999653,14.006424,13.9506168,13.5276928,13.4579468,13.0234261,12.8331356,12.445858,12.377882,12.2107639,12.1081228,12.0932274,0.834472656,1,0,0,4931.96,2.034,-2.263
87066,14278,106.5175495,33.04076378,0.954,17.5766563,17.2294998,17.081686,16.2525749,16.0125084,15.3582296,15.1303911,14.5718813,14.4736652,14.2786083,14.1571541,14.1352272,0.968261719,0,0,1,,,
87066,15025,105.1198484,33.06622612,0.825,16.8875751,16.5660019,16.4727783,15.7847805,15.6862497,15.0969982,14.89818,14.3786583,14.2234154,14.0667925,13.9475555,13.9138088,0.952636719,0,0,1,,,
87066,16737,106.2749936,33.130991,0.974,16.6246147,16.3577232,16.2370262,15.5812416,15.4646473,14.9666357,14.771039,14.3658829,14.3020191,14.147913,14.0601988,14.0552273,0.731933594,0,0,0,,,
87066,16790,106.3073705,33.1275778,0.996,15.4390574,15.201685,14.9738703,14.2151842,14.0398903,13.436204,13.2176304,12.7224226,12.6345348,12.4617786,12.3588867,12.3377514,0.9765625,1,0,1,4965.45,2.502,-0.466
87066,17209,106.0070926,33.14620304,0.938,16.3044548,16.1014214,15.8084927,15.0581017,14.8611336,14.2321358,14.0163078,13.4819555,13.3884983,13.2079086,13.0910444,13.0707655,0.986816406,0,0,1,,,
87066,17684,105.0767531,33.16524531,0.92,17.0384521,16.7495232,16.5454865,15.8215284,15.6731176,15.1104689,14.8819304,14.4125233,14.324441,14.1436825,14.0380611,14.0172777,0.936523438,0,0,0,,,
87066,17986,105.210233,33.17542404,0.949,16.6355057,16.4231529,16.1272888,15.3345537,15.1120644,14.4548149,14.237896,13.6584282,13.5550632,13.3671761,13.2478657,13.2221613,0.982910156,0,0,1,,,
87066,18420,105.7392253,33.19181388,0.998,16.3188438,16.1336823,15.8283873,15.0276337,14.7754068,14.1471844,13.9269905,13.377346,13.2897635,13.10709,12.9968262,12.9743195,0.989257813,1,0,1,4945.68,2.981,-0.247
87066,18862,105.6125089,33.20797019,0.898,17.1731701,16.9888954,16.6651745,15.8916731,15.6751671,15.0110054,14.797081,14.2016544,14.109993,13.893137,13.7537298,13.7305756,0.946777344,0,0,0,,,
87066,19056,106.4940371,33.21827493,0.977,17.1230011,16.8640137,16.7080536,15.9488935,15.7954197,15.1778364,14.9668922,14.4866714,14.4099178,14.2343874,14.1293402,14.1130066,0.972167969,0,0,1,,,
87066,19076,106.0504819,33.21764724,0.843,17.352314,17.1828918,16.9129524,16.0636368,15.8387947,15.1507645,14.9319344,14.3506641,14.2372952,14.0393658,13.9131594,13.87609,0.928710938,0,0,0,,,
87066,19115,106.0582484,33.22272691,0.964,17.3721085,17.0800591,16.9692001,16.2824192,16.1632385,15.5970612,15.3988781,14.9225521,14.8187351,14.6544151,14.5525417,14.5294018,0.922851563,0,0,0,,,
87066,19326,105.9148802,33.22816938,0.973,17.8380756,17.6427345,17.3558388,16.4949245,16.2257767,15.5718441,15.3784037,14.765646,14.6680908,14.493391,14.3697309,14.3562517,0.714355469,0,0,0,,,
87066,19352,105.4361693,33.22741066,0.982,16.6376686,16.4122162,16.1191063,15.2161198,14.9440117,14.2339363,14.0218067,13.3770409,13.2714024,13.0563431,12.9224796,12.8907471,0.98828125,0,0,1,,,
87066,19411,105.9315769,33.23688442,0.905,18.1107903,17.6025906,17.6277313,16.891634,16.7795143,16.2579422,16.041935,15.5945454,15.5326061,15.3413935,15.232605,15.2298994,0.856933594,0,0,0,,,
87066,19684,105.6414506,33.2398796,0.932,16.5774918,16.3562546,16.0037155,15.1864347,14.9219942,14.2177582,13.9873257,13.3822231,13.2837639,13.081234,12.9507408,12.9246464,0.988769531,1,0,1,4836.99,2.596,-0.265
87066,19811,105.5020767,33.24252015,0.984,15.7267342,15.4399567,15.2535648,14.542984,14.3675709,13.7754498,13.5578985,13.0633554,12.9836626,12.8015347,12.6867056,12.673275,0.955078125,0,0,1,4996.65,2.139,-0.505
87066,21501,106.5512645,33.30913738,0.985,16.2638893,15.9771805,15.9799232,15.4236231,15.3592157,14.9478827,14.7656441,14.4118481,14.3595314,14.211545,14.1336584,14.1265507,0.958496094,0,0,0,,,
87066,21565,105.6147833,33.31428157,0.95,17.4386597,17.1901436,16.9976883,16.2699661,16.1240711,15.5021324,15.2943277,14.787569,14.6964712,14.5061073,14.3811302,14.3637447,0.955078125,0,0,1,,,
87066,21669,105.7211884,33.31632797,0.976,16.6101055,16.4069023,16.146883,15.3239326,15.0882254,14.4363518,14.2117987,13.6594048,13.5668449,13.3776007,13.2543716,13.2361546,0.98046875,0,0,1,,,
87066,21977,105.4513917,33.33238503,0.882,17.8195629,17.5968132,17.3890266,16.6796417,16.5444183,15.9853697,15.7717276,15.306097,15.226965,15.050766,14.9481888,14.8840113,0.770507813,0,0,0,,,
87066,22527,105.2945197,33.3465218,0.958,17.0977612,16.9842796,16.5622787,15.8257647,15.5727558,14.9137039,14.7166414,14.1430483,14.044693,13.8652582,13.7467003,13.7240324,0.891601563,0,0,0,,,
87066,22630,106.5704407,33.35420752,0.978,17.6965046,17.6072903,17.2266998,16.5113449,16.2623482,15.7081652,15.4867802,15.0131912,14.9333668,14.7715816,14.6924372,14.6769199,0.731933594,0,0,0,,,
87066,22982,106.2925816,33.35864431,0.937,17.2709675,17.0619469,16.6448383,15.4626389,14.9462948,13.927433,13.6989985,12.7624512,12.6015043,12.3016186,12.0938625,12.0508299,0.986816406,0,0,1,4043.68,1.523,0.076
87066,23004,106.6749677,33.36125294,0.969,16.0721931,15.8568039,15.6103239,14.7569323,14.4888668,13.8067436,13.5619135,13.0038977,12.8997202,12.7085848,12.5982857,12.5717306,0.985839844,1,0,1,4844.38,2.62,-0.349
87066,23103,105.4687652,33.36062542,0.967,15.4442577,15.2043676,14.9848957,14.2463531,14.0551357,13.4830532,13.2629881,12.7810535,12.695981,12.5264044,12.4264774,12.4005995,0.962402344,0,0,1,,,
87066,23797,106.3099084,33.39391359,0.969,16.2341728,16.0390339,15.7566376,14.9539957,14.7189188,14.0849123,13.8449554,13.3092632,13.2174244,13.0373631,12.925787,12.9071531,0.985839844,0,0,1,,,
87066,24573,105.7846064,33.42180928,0.971,15.897192,15.5811558,15.4448185,14.691824,14.5569267,13.9760818,13.7632666,13.2695837,13.1827936,13.0007954,12.8944721,12.873148,0.985839844,0,0,1,,,
87066,24586,105.1372444,33.42581882,0.945,17.5138283,17.2259445,17.0998611,16.2214241,16.0279255,15.4033642,15.1674671,14.6415558,14.5438156,14.3506851,14.2403193,14.2080402,0.960449219,0,0,1,,,
87066,24904,106.4740298,33.43219105,0.978,17.3718052,17.1422863,16.8193512,15.8914289,15.5765057,14.8821115,14.6907148,14.0127373,13.8973465,13.6990376,13.5677118,13.5440369,0.904296875,0,0,0,,,
87066,25272,105.536348,33.45183116,0.896,17.7894096,17.5993614,17.3607292,16.7138443,16.5651493,15.9773521,15.7481155,15.2678261,15.1990519,15.0169859,14.9095306,14.8824997,0.642089844,0,0,0,,,
87066,26003,106.2000061,33.47379904,0.967,16.1916809,15.9594135,15.7577753,15.0147209,14.8374281,14.2459688,14.0222025,13.5307188,13.4341412,13.2538338,13.1446838,13.1273184,0.986328125,1,0,1,5002.56,2.43,-0.567
87066,26149,106.3493572,33.47865147,0.967,17.1619167,17.0633392,16.6191006,15.7887182,15.4858894,14.8297977,14.6286411,14.0094261,13.9049692,13.7194023,13.5988464,13.5811768,0.628417969,0,0,0,,,
